"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","Bitte geben Sie Ihre UserID an.     Anleitung:1. Buchstabe des Vornamens1. Buchstabe des NachnamensTag – Monat – Jahr Ihres GeburtstagsAnfangsbuchstabe Ihres GeschlechtsBeispiel:Name: John SmithGeburtstag: 20.05.1980Geschlecht: Männlich--&gt; ID: J20S05M80 ","Was denken Sie, wie lange man solche Kommunikationen brauchen könnte? ","Welche Effekte könnte diese Kommunikation auf den Gesamtverkehr haben (Positive oder Negative)?","Was fanden Sie besonders gut an der Kommunikation der hochautomatisierten Fahrzeuge? Bitte geben Sie Feedback für die vier Szenarien.","Was fanden Sie nicht so gut an der Kommunikation? Haben Sie Verbesserungsvorschläge? Bitte geben Sie Feeback für die vier Szenarien.","Gesamtzeit","Gruppenzeit: Final","Fragenzeit: userID","Fragenzeit: durationUsing","Fragenzeit: effectsPosNeg","Fragenzeit: feedbackPositive","Fragenzeit: feedbackNegative"
"12","2022-12-09 11:35:30","1","de","1655049265","2022-12-09 11:30:48","2022-12-09 11:35:30","D17M09M99","die Kommunikation wird immer benötigt und sollte sogar ausgebaut werden","positiv, da Personen die autonohmfahrenden Autos besser einschätzen können und erkennen in welchen ""Modus"" er sich befindet. Dazu darf es natürlich nicht passieren, dass bei den Signalen fehler passieren. Da sonst die Persenn dem System nicht mehr vertrauen.","Die kommunikation war immer einfach und schnell verständlich (nach dem ersten mal konnten die Signale schnell richtig gedeutet werden).","Die Kommunikation könnte erweitert werden durch weitere Events, die auftreten. Zum Beispiel signalisieren wenn eine Person erkannt wurde. Die Kommuikatino sollte dabei jedoch möglichst einfach bleiben.","281.81","281.81","","","","",""
"13","2022-12-09 12:24:04","1","de","312571816","2022-12-09 12:16:04","2022-12-09 12:24:04","L01D12M94","Solange Fuß- und Autoähnlicher-Verkehr nicht start (baulich) getrennt sind","Stärkt Sicherheitsgefühl von Fußgängern (fühlen sich wahrgenommen).
Stärkt Vertrauen in autonohme Fahrzeuge (da visuell Feedback über das Erkennen der Situation gegeben wird).
Evtl weniger Unfälle, da nicht angenommen werden muss, ob das Auto einen wahrnimmt.
Flüssigerer Verkehr, da Fußgänger nicht erst warten müssen, bis sie sich sicher sein können, dass das auto für sie stoppt.","Mir wird sofort klar, dass mich das auto erkannt hat und die Situation überblickt.","Die Kommunikation gibt klar zu erkennen, dass ich erkannt wurde.
Allerdings beinhaltet sie sonst wenig Information.
So könnte das Auto noch vor anderen Fahrzeugen auf der Gegenfahrbahn warnen usw.
Evtl wäre Grün als zeichen zum passieren besser. Blau ist sehr ambivalent und kann als sowohl als ""ich warte"" oder als Beschwerte interpretiet werden.
 ","480.69","480.69","","","","",""
"14","2022-12-10 15:10:40","1","de","68364086","2022-12-10 15:06:52","2022-12-10 15:10:40","J14S07W96","In meinem Fall habe ich mich nach dem dritten Szenario drauf verlassen können, dass das autonome Fahrzeug anhält.","Positive Effekte, da man dem Fahrzeug mehr vertraut, als wenn es menschlich gesteuert wäre.","Das sofort erkennbar war, dass es sich um ein autonomes Fahrzeug handelt. Somit konnte man sich auf die weiteren Verkehrsteilnehmer konzentieren.","Keine Verbesserungsvorschläge. Es war alles gut erkennbar.","227.39","227.39","","","","",""
"15","2022-12-12 15:21:15","1","de","380435120","2022-12-12 15:18:30","2022-12-12 15:21:15","L04P05M00","Diese Art der Kommunikation sollte durchgehen beibehalten werden und nicht irgendwann wieder abgeschafft werden.","Es kann Fußgängern, Radfahrern, etc. mehr Sicherheit geben und vielleicht sogar Unfälle verhindern, das stetig klar ist wann ein Auto anhalten wird.","Die Kommunikation ist sehr simple und klar (v.a da nur zwei Zustände abgebildet werden. Entweder das Auto hält oder eben nicht)","Das Auto könnte etwas füher kommunizieren ob es anhalten wird. Ich habe das immer als etwas kurzfristig und abrupt empfunden.","165.31","165.31","","","","",""
"16","2022-12-13 13:16:39","1","de","1487327041","2022-12-13 12:54:24","2022-12-13 13:16:39","A29G06M01","Dauerhaft damit die Fußgänger sich sicher sein können in welchen Zustand sich das Auto befindet (wartet oder einfach weiterfährt)","Gut wäre es für die eindeutige/schnelle Kommunikation mit Blinklichtern

Das Schlechte daran ist dass jeder (auch andere Autofahrer die kein autonomes Auto haben) alles über die Kommunikation der autonomen Autos lernen muss und Touristen oder Arbeiterhunde (für blinde Menschen) mit deren Herrchen die noch nie autonome Autos gesehen/recherchiert haben dadurch klar im Nachteil/Gefahr sind.

Noch etwas was mich besorgt ist da eine Kommunikation stattfindet könnte es irgendwie möglich sein dass sie gestört (Hardware) oder angegriffen (Hacker) wird

Bei ungünstigen Wetterbedinungen wie dichter Nebel oder sehr stark strahlende Sonne (entgegen so dass man geblendet wird) könnte es sehr schwierig sein diese Kommunikation der Autos wahrzunehmen","Das wenn die Autos stehen geblieben sind auch warten bis man die Straße überquert hat und nicht einfach mitten drin sich überlegen weiterzufahren. Wenn die Autos die blauen Lichter zum Kommunizieren benutzt haben konnte man sich ganz sicher sein dass das Auto jetzt anhällt und wartet","(Ich weiß nicht wie frühzeitig die Autos in der Realität tatsächlich kommunizieren würden) Für mich kamen die Blinklichter (die Kommunikation) etwas zu spät und dadurch habe ich nie früh genug gewusst ob das Auto jetzt anhalten wird oder nicht 

(dessahlb etwas früher blinken?)","1335.27","1335.27","","","","",""
"17","2022-12-13 15:52:08","1","de","1472668939","2022-12-13 15:43:30","2022-12-13 15:52:08","A27S01W99","Diese Arten der Kommunikation sind immer wichtig, um Mitmenschen und insbesondere Fußgänger zu schützen.","Sowohl positive Effekte, beispielsweise, dass sich Fußgängerer sicherer fühlen und Ampeln sowie Zebrastreifen überflüssig werden, als auch negative Effekte, beispielsweise, dass unerwartete Wartezeiten auftreten können und mehr Unfälle passieren können, durch unvorhersehbare Behinderungen für andere Verkehrsteilnehmer.","Besonders gut an der Kommunikation ist die Sicherheit durch den LED-Streifen und durch den Bremsvorgang, die anderen Verkehrsteilnehmern gegeben wird sowie dass es für Verkehrsteilnehmer leicht zu erkennen ist, dass keine Gefahr besteht und sie die Straße überqueren können. Ebenfalls gut ist, dass das Auto komplett steht, bis der Fußgänger überquert hat und nicht bereits wieder losfährt.","Nichts, mit Licht ist Kommunikation eindeutiger.","518.16","518.16","","","","",""
"18","2022-12-13 16:24:52","1","de","792915487","2022-12-13 16:18:56","2022-12-13 16:24:52","J16B06M98","Zu Beginn, wenn autonome Fahrzeuge eingeführt werden und es in mixed traffic übergeht bis zu dem Punkt, ab dem nur noch autonome Fahrzeuge fahren. Diese müssen ohnehin in der Lage sein für Fußgänger anzuhalten, daher ist eine Kommunikation nicht notwendig.","Negativ: Fußgänger könnten auf die erste Fahrbahn laufen, obwohl auf der Gegenspur noch niemand angehalten hat. Fußgänger könnten weniger Fußgängerüberwege nutzen, das könnte den Verkehr einseitig aufhalten. Trolling ist möglich.

Positiv: Fußgänger achten mehr auf den Verkehr, da sie ein konkretes Zeichen durch die Fahrzeuge erwarten. ","Die LED, die kennzeichnet ob ein Fahrzeug autonom oder nicht fährt war hilfreich. Der LED Streifen, der signalisiert, dass ein Fahrzeug hält, hat dazu geführt, dass ich schneller erkannt habe, dass ich gehen darf.","Die Kommunikation verleitet mich dazu die Fahrbahn zu betreten, obwohl in der Gegenspur noch Fahrzeuge fahren. Das könnte gefährlich werden, besonders bei mixed traffic. Die Schwelle, ab wann ein Fahrzeug anhält war ein wenig zu nah an der Fahrbahn. 
Manchmal sind die Fahrzeuge so gehalten, dass ich einen Bogen um sie laufen musste. Das hat mein vertrauen in das system gesenkt, es impliziert, das fahrzeug hat mich zu spät erkannt.","356.78","356.78","","","","",""
"19","2022-12-14 09:26:42","1","de","11714238","2022-12-14 09:19:18","2022-12-14 09:26:42","O30R09M98","Soalnge wie es Mixed Traffic Verkehr geben wird (also solange wie manuelle und automatisierte Fahrzeuge gleichzeitig auf den Straßen fahren). Sollte der Punkt kommen, an welchem AVs MVs komplett ablösen und es nur noch automatisierten Verkehr geben wird, dann wird es bereits ausreichend Verkehrsregeln Systeme geben, um einen Straßenübergang ohne Gefahren für den Passanten zu gestalten. Außerdem kann ich mir vorstellen, dass bis zu diesem Zeitpunkt, die Menschen sich auchan die AVs gewöhnt haben und somit auch an die Kommunikation. ","Positiv: sicherer für die Passanten und verwundbaren Straßennutzer (Blinde etc) 
Negativ: potenziell kann es dadurch in Städten an belebten Orten zu unnötigen Staus kommen, da die Fahrzeuge evtl alle 5m für jemanden stoppen und kommunizieren (ist ja nicht gegeben, dass der Passant auch wirklich sofort über die Straße geht) ","war relativ straight forward und man konnte es nachvollziehen ","Es war nicht ganz eindeutig, ob das AV mit der Komm meinte ob es für mich hält oder ob man als Passant die Straße überqueren kann. Für den User wirkt es vlt eher wie der zweite Fall, was dann aber verunsichern wirkt, da auf der anderen Seite immer noch Fahrzeuge gefahren sind. ","444.63","444.63","","","","",""
"20","2022-12-14 14:29:00","1","de","666917332","2022-12-14 14:14:05","2022-12-14 14:29:00","M19G05M00","Immer","Positiv Effekte: Bessere Kommunikation zwischen Fahrer und Fußgänger; bessere Kommunikation zwischen Fahrern; weniger Unfälle; entspanntere Verkehrssituationen
Negative Effekte: uneindeutige Kommunikation kann zu Unfällen führen; falls Kommunikation abgeschafft wird; kann der Wegfall als Kommunikation falsch gedeutet werden","Kommunkation zwischen Fahrer und Fußgänger kann bei richtigem einleiten eine Erleichterung darstellen. Bei stark befahrenen Straßen kann man als Fußgänger kaum die Straße überqueren und durch die Kommunkaiton kann für den Fußgänger eine eindeutige Möglichkeit gegeben werden. Die LED-Leiste bietet eine eindeutige Kommunikation zwischen Fußngänger und Fahrer, jedoch müssen auch andere Kriterien beachtet werden, wie anpassende Geschwindigeit und Abstand zum Fußgänger, da dies sonst zu Verwirrung führen kann. Die optimale Kombination ist alle gennanten Aspekte zu berückstichtigen.","Bei Einhalten von wenigen Aspekten (Beispiel: LED, aber nicht genug Abstand), kann dies zu Verwirrung führen und eine falsche Kommunikation verursachen. Dazu ist es auch nicht ganz gefährlich, da der Fußngänger durch die Kommunikation zum überqueren der Straße aufgefordert wird, jedoch muss noch auf den gegenüberliegenden Verkehr geachtet werden, da das Anhalten des anderen Fahrzeuges nicht garantiert ist. Durch die Verleitung zum Überqueren durch die Kommunikation des Fahrzeugs kann dadurch Gefahrensituationen entstehen, da nicht gewiss ist, wie und ob die anderen Fahrteilnehmer darauf reagieren. ","895.12","895.12","","","","",""
"21","2022-12-14 16:07:46","1","de","700788638","2022-12-14 16:01:04","2022-12-14 16:07:46","F30T12M99","Immer mit LED","Durch die LED könnte es klarer werden, wann man die Straße überqueren darf. So könnte es zu weniger Unfällen kommen.
Gleichzeitig könnte es aber zu Problemen kommen wenn viele Menschen immer die Straße überqueren wollen und die automatisierten Fahrzeuge jedes mal stehen bleiben.","Die Kommunikation durch die LED Leuchte am Unterrand des Autos war am eindeutigsten und am Besten. Man wusste direkt, dass das Auto auch wirklich anhält und einen nicht überfährt.

Gleich war es wenn ein Mensch drin saß. Unklarer war es bei den automatisierten Autos ohne LED Leiste unten.","Man könnte die LED Leiste auch in 2 unterschiedlichen Farben machen. Eine (rot) wenn das Auto gerade am Abbremsen ist und die Person erkannt hat und dann auf Grün umschalten, wenn das Auto steht und der Fußgänger die Straße überqueren darf.

Ähnliches Prinzip wie bei einer Ampel, so könnte es zu keinen Missverständnissen kommen.","402.45","402.45","","","","",""
"22","2022-12-14 17:13:37","1","de","959730701","2022-12-14 17:09:58","2022-12-14 17:13:37","H27B04M96","Ich bräuchte die Kommunikation jetzt schon nicht mehr. Generell könnte es für kritischere Menschen aber natürlich ein paar Jahre dauern. ","Positiv: 
Zusätzliche Sicherheit für den Straßenverkehr
Höheres Vertrauen der Mennschen 
Negativ: 
Blindes Vertrauen auf Kommunikation, ohne andere Faktoren zu berücksichtigen ","Anhalten des Fahrzeugs als klarer Indikator, dass Straße überquert werden kann
Zusätzliche Sicherheit über das Blinken ","Wissen über Bedeutung des Blinkens natürlich notwendig","219.32","219.32","","","","",""
"23","2022-12-14 17:30:39","1","de","210547650","2022-12-14 17:25:29","2022-12-14 17:30:39","M18B05W87","Ich denke, dass die Kommunikation irgendwann nicht mehr nötig ist, da ich die Kommunikation des Autos nicht wirklich wahrgenommen habe und losgelaufen bin sobald das Auto stehen blieb. Egal, was letztlich der Grund für das Anhalten war. ","Positive Effekte: Ich denke, dass autonome Fahrzeuge weniger störanfällig sind, als menschliche Fahrer und somit das Unfallrisiko für Fußgänger minimiert werden kann. ","Ich habe die Kommunikation gar nicht wirklich wahrgenommen. ","Ich habe sie nicht wahrgenommen. Nein.","310.73","310.73","","","","",""
"24","2022-12-15 09:17:58","1","de","990125987","2022-12-15 09:14:49","2022-12-15 09:17:58","H16K05W95","Ich denke, die Kommunikation könnte abgesetzt werden. Sofern das Auto zum Stillstand kommt, habe ich keinen Zweifel, dass ich die Straße überqueren kann.","Ich denke dass diese Art der Kommunikation weitestgehend ungeachtet bleibt, und daher keinen direkten Effekt auf den Gesamtverkehr hat. Eventuell könnte sie aber auch als falsches Signal durch den Gegenverkehr gedeutet werden (Verwechslung mit Lichthupe) ","Ich habe nicht wirklich auf die Kommunikation geachtet. Sie hatte kaum Einfluss, wie bzw ob ich die Straße überquere","","189.58","189.58","","","","",""
"25","2022-12-15 10:46:55","1","de","134511271","2022-12-15 10:38:57","2022-12-15 10:46:55","D17L09M92","Die LED Anzeige war lediglich ein sekundarer Grund über die Straße zu gehen.
Wichtiger war, dass das Auto wirklich steht.","","Ein deutliches, unterstützendes Signal gibt zusätzliche Sicherheit und Vertrauen beim Überqueren der Straße.","Teilweise war die Kommunikation des Fahrezuges schwer zu erkennen und kein maßgeblicher Anreiz die Straße zu überqueren.","477.23","477.23","","","","",""
"26","2022-12-15 11:11:07","1","de","932530347","2022-12-15 11:07:56","2022-12-15 11:11:07","F23F04W00","Ich denke, man bräuchte die zusätzliche Kommunikation relativ lange, ich persönlich habe mich eher auf die LED Anzeige als auf die Tatsache, dass es ein automatisiertes Fahrzeug ist, verlassen.","Negativ: Fußgänger überqueren einfach überall die Straße, ständig stockender Verkehr, evtl Unfälle durch abgelenkte Autofahrer
Positiv: Man kann als Fußgänger sicher die Straße überqueren, besonders für zB. Sehbehinderte von Vorteil","Großes, eindeutiges Signal","-","191.7","191.7","","","","",""
"27","2022-12-16 09:16:10","1","de","1462612382","2022-12-16 09:14:05","2022-12-16 09:16:10","P21K08M01","Könnte den Straßenverkehr sicherer und einfacher machen","Posiiv: Mehr sicherheit, mehr Ordnung, mehr Kontrollierbarkeit
Negativ: weniger Konzentration durch Ablenkung, dann doch unsicherer","Licht eindeutig und leicht zu verstehen; erleichtert einem deutlich die Entscheidung, wann man rübergehen kann, da man nur noch auf eine fahrbahn achten muss","Kommunikation war super","125.12","125.12","","","","",""
"28","2022-12-16 10:53:08","1","de","1087425228","2022-12-16 10:51:29","2022-12-16 10:53:08","M28J01M95","eher länger, weil man die Geschwindigkeitsreduzierung nicht ganz sehen kann","es könnte den Straßenverkehr modifizeren","Dass diese angehalten haben und geleuchtet haben, gleichzeitig","das Bremslicht könnte deutlicher und in einer auffälligeren Farbe sein","99.69","99.69","","","","",""
"29","2022-12-16 11:43:11","1","de","867287381","2022-12-16 11:39:13","2022-12-16 11:43:11","D19F10M93","Sicher nur für die Anfangszeit. Ich habe die LED-Leiste irgendwann nicht mehr wahrgenommen und mehr darauf geachtet ob das Fahrzeug hält bzw ob da ein Fahrer sitzt.","Es könnte am Anfang sicherlich unerstützend sein. In Situationen aber mit mehrere Verkehrsteilnehmer könnten die Lichter fehl interpretiert werden.","Es hat einem ein kleines bisschen mehr Sicherheit gegeben aber eigentlich erst zu einem Zeitpunkt, an dem man sich bereits entschieden hatte los zu laufen.","In dem Moment wo das Auto einen scheinbar registriert hatte kam Bremsen und leuchten gleichzeitig, so dass sich für mich kein großer Persönlicher Benefit ergeben hat auf das Signal zu achten.","238.89","238.89","","","","",""
"30","2022-12-16 13:21:23","1","de","957238903","2022-12-16 13:15:32","2022-12-16 13:21:23","A25E03W01","Je öfter man diese Art der Kommunikation gesehen hat, desto sicherer hat man sich gefühlt über die Straße zu gehen und desto natürlicher wurde die Kommunikationsart via LED. Anfangs war es etwas ungewohnt sich rein auf die LED-Kommunikation zu verlassen, dies hat sich mit der Zeit aber deutlich verbessert.","Insgesamt könnte diese Kommunikation einen positiven Effekt auf den Gesamtverkehr haben. Dadurch wird dem Fußgänger leichter kommuniziert, wann man über die Straße gehen kann.","Die Kommunikation via LED ist sehr simpel, unkompliziert und verständlich. Vor allem das blinkende LED fällt dem Fußgänger auf und stellt ein gutes Signal zur sicheren Überquerung dar. ","","351.26","351.26","","","","",""
"31","2022-12-16 14:56:16","1","de","46619475","2022-12-16 14:50:17","2022-12-16 14:56:16","M18M10W92","Zu Beginn der Studie habe ich noch auf die LED Lichter geachtet, aber im Laufe der Studie waren die LED Lichter nicht mehr ausschlaggebend, so dass ich mich auf das System an sich verlassen habe (Fahrzeug erkennt mich und hält daher an) ","Da sich die Menschen mit der Zeit an die ""Erkennung der Fahrzeuge auf Menschen gewöhnen"" wird eine farbliche Markierung vermutlich nicht mehr notwendig sein, da sich das Verhalten der Fahrzeuge zur Normalität entwickelt hat. ","","","359.46","359.46","","","","",""
"32","2022-12-16 15:14:03","1","de","1383483501","2022-12-16 15:10:20","2022-12-16 15:14:03","F25K02M89","Ich denke es wird relativ schnell gehen, dass diese Kommunikation nicht mehr nötig sein wird. Die Menschen werden auf das System vertrauen. ","es könnte andere Fahrer ablenken ","am Anfang war die Kommunikation hilfreich aber bereits am zweiten Tag habe ich nicht mehr darauf geachtet ","keine Verbesserungsvorschläge ","223.51","223.51","","","","",""
"33","2022-12-16 15:48:47","1","de","1499180341","2022-12-16 15:44:17","2022-12-16 15:48:47","C31V10W88","Die Gewöhungszeit ist wahrscheinlich nicht besonders lang. Ich denke ein Monat.","positiv weil klarer ist ob das Fahrzeug tatsächlich stehen bleibt","Es war eindeutig und man hatte schnell ein Gefühl ob das Fahrzeug hält oder nicht","","270.19","270.19","","","","",""
"34","2022-12-17 09:52:06","1","de","2020191058","2022-12-17 09:48:19","2022-12-17 09:52:06","J24S06W98","Für immer","- Verkehr kann eingeschränkt werden, wenn Personen ständig und ungebündelt über die Straße laufen
- Fußverkehr kann attraktiver werden, da Wartezeiten verkürzt werden","","","227.05","227.05","","","","",""
"35","2022-12-17 10:07:44","1","de","145254980","2022-12-17 10:04:30","2022-12-17 10:07:44","B08P09W94","relativ schnell verständlich und übersichtlich","Positiv: einfacheres überqueren der Straße
Negativ: Autos könnten denken der Fußgänger am Straßenrand möchte die Straße überqueren und halten an obwohl dieser hier nur steht, dadurch mehr Stau","Die leuchtende LED die mir Signalisiert hat dass mich das Auto erkannt hat","","194.69","194.69","","","","",""
